provided_interaction_type_label,provided_interaction_type_id,mapped_to_interaction_type_label,mapped_to_interaction_type_id
Attendant,,,
Body,,,
Body part (not genitalia),,,
Genitalia,,,
Host of,,hostOf,http://purl.obolibrary.org/obo/RO_0002453
Mate,,,
Parasite,,hasParasite,http://purl.obolibrary.org/obo/RO_0002445
Pollinating,,pollinates,http://purl.obolibrary.org/obo/RO_0002455
Predator,,preyedUponBy,http://purl.obolibrary.org/obo/RO_0002458
Prey,,preysOn,http://purl.obolibrary.org/obo/RO_0002439
puparium,,,
Tending,,,
Vicinity,,,
Reared from,,hasHost,http://purl.obolibrary.org/obo/RO_0002454
Parasite of,,parasiteOf,http://purl.obolibrary.org/obo/RO_0002444
Host,,hasHost,http://purl.obolibrary.org/obo/RO_0002454
